,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,META,META,META,META,META,META,META,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Volume,Dividends,Stock Splits
Date,,,,,,,,,,,,,,,,,,,,,
2017-06-07 00:00:00-04:00,50.29750061035156,50.51250076293945,50.099998474121094,50.503501892089844,56460000,0.0,0.0,153.27000427246094,153.75,152.33999633789062,153.1199951171875,12066700,0.0,0.0,49.954498291015625,50.195499420166016,49.79349899291992,50.07500076293945,27482000,0.0,0.0
2017-06-08 00:00:00-04:00,50.60300064086914,50.68050003051758,50.30550003051758,50.51350021362305,55358000,0.0,0.0,154.0800018310547,154.72999572753906,153.10000610351562,154.7100067138672,17799400,0.0,0.0,50.21149826049805,50.279998779296875,49.83100128173828,50.2140007019043,33758000,0.0,0.0
2017-06-09 00:00:00-04:00,50.625,50.64950180053711,46.349998474121094,48.91550064086914,152954000,0.0,0.0,154.77000427246094,155.58999633789062,146.61000061035156,149.60000610351562,35577700,0.0,0.0,50.27450180053711,50.275001525878906,47.66849899291992,48.50600051879883,72958000,0.0,0.0
2017-06-12 00:00:00-04:00,48.349998474121094,48.79750061035156,47.25,48.24549865722656,188944000,0.0,0.0,148.1699981689453,149.1999969482422,144.55999755859375,148.44000244140625,33170200,0.0,0.0,47.93600082397461,48.400001525878906,46.84000015258789,48.09049987792969,84042000,0.0,0.0
2017-06-13 00:00:00-04:00,48.89950180053711,49.224998474121094,48.30500030517578,49.03950119018555,91600000,0.0,0.0,150.14999389648438,151.17999267578125,148.89999389648438,150.67999267578125,20483400,0.0,0.0,48.60200119018555,48.89550018310547,48.10049819946289,48.525001525878906,40108000,0.0,0.0
2017-06-14 00:00:00-04:00,49.429500579833984,49.516998291015625,48.33549880981445,48.82350158691406,79498000,0.0,0.0,151.25999450683594,152.39999389648438,149.0500030517578,150.25,20808800,0.0,0.0,48.775001525878906,48.98500061035156,47.97549819946289,48.39649963378906,30110000,0.0,0.0
2017-06-15 00:00:00-04:00,47.935001373291016,48.2864990234375,47.542999267578125,48.208499908447266,107478000,0.0,0.0,147.6699981689453,150.0399932861328,146.3699951171875,149.8000030517578,18994200,0.0,0.0,47.4010009765625,48.034000396728516,47.01850128173828,48.00899887084961,48552000,0.0,0.0
2017-06-16 00:00:00-04:00,49.79999923706055,49.98749923706055,49.099998474121094,49.385501861572266,229454000,0.0,0.0,149.58999633789062,150.8300018310547,148.60000610351562,150.63999938964844,22882400,0.0,0.0,47.89550018310547,47.997501373291016,47.435001373291016,47.930999755859375,51184000,0.0,0.0
2017-06-19 00:00:00-04:00,50.849998474121094,50.849998474121094,49.494998931884766,49.75849914550781,100868000,0.0,0.0,151.7100067138672,153.57000732421875,151.7100067138672,152.8699951171875,19026500,0.0,0.0,48.48249816894531,48.96500015258789,48.40999984741211,48.76100158691406,29376000,0.0,0.0
2017-06-20 00:00:00-04:00,49.900001525878906,50.24399948120117,49.60100173950195,49.62950134277344,81536000,0.0,0.0,152.8800048828125,153.83999633789062,152.2100067138672,152.25,14743900,0.0,0.0,48.765499114990234,49.03950119018555,48.40999984741211,48.449501037597656,25946000,0.0,0.0
2017-06-21 00:00:00-04:00,49.935001373291016,50.13600158691406,49.63249969482422,50.11149978637695,58450000,0.0,0.0,152.36000061035156,154.0800018310547,151.8800048828125,153.91000366210938,15039800,0.0,0.0,48.53950119018555,48.977500915527344,48.47249984741211,48.929500579833984,23232000,0.0,0.0
2017-06-22 00:00:00-04:00,50.11149978637695,50.347999572753906,49.86000061035156,50.064998626708984,45068000,0.0,0.0,153.00999450683594,154.5500030517578,152.91000366210938,153.39999389648438,13005500,0.0,0.0,48.84349822998047,49.025001525878906,48.66550064086914,48.83100128173828,20190000,0.0,0.0
2017-06-23 00:00:00-04:00,50.12699890136719,50.23099899291992,49.9010009765625,50.1870002746582,57582000,0.0,0.0,152.72000122070312,155.1999969482422,152.64999389648438,155.07000732421875,18027000,0.0,0.0,48.775001525878906,49.33100128173828,48.722999572753906,49.304500579833984,31280000,0.0,0.0
2017-06-26 00:00:00-04:00,50.42499923706055,50.4900016784668,49.599998474121094,49.69900131225586,67724000,0.0,0.0,156.25,156.5,153.1999969482422,153.58999633789062,18049700,0.0,0.0,49.5,49.699501037597656,48.51649856567383,48.60449981689453,30358000,0.0,0.0
2017-06-27 00:00:00-04:00,49.53450012207031,49.939998626708984,48.79999923706055,48.8390007019043,75648000,0.0,0.0,152.83999633789062,153.30999755859375,150.38999938964844,150.5800018310547,19360800,0.0,0.0,48.08000183105469,48.361000061035156,47.35449981689453,47.40449905395508,48872000,0.0,0.0
2017-06-28 00:00:00-04:00,48.9275016784668,49.534000396728516,48.46049880981445,49.51649856567383,74752000,0.0,0.0,150.9199981689453,153.47000122070312,149.86000061035156,153.24000549316406,16719100,0.0,0.0,47.53300094604492,48.1619987487793,46.80799865722656,48.050498962402344,54912000,0.0,0.0
2017-06-29 00:00:00-04:00,48.95000076293945,49.37799835205078,48.26250076293945,48.79650115966797,86060000,0.0,0.0,152.27999877929688,152.5,148.9199981689453,151.0399932861328,23973500,0.0,0.0,47.567501068115234,47.58300018310547,46.47999954223633,46.89099884033203,64134000,0.0,0.0
2017-06-30 00:00:00-04:00,49.00600051879883,49.173500061035156,48.38050079345703,48.400001525878906,67806000,0.0,0.0,151.89999389648438,151.9199981689453,150.05999755859375,150.97999572753906,17666000,0.0,0.0,47.199501037597656,47.25,46.480499267578125,46.48400115966797,45754000,0.0,0.0
2017-07-03 00:00:00-04:00,48.63949966430664,48.7244987487793,47.54999923706055,47.68299865722656,58182000,0.0,0.0,151.72000122070312,152.14999389648438,147.8000030517578,148.42999267578125,13862700,0.0,0.0,46.6609992980957,46.71200180053711,45.765499114990234,45.972999572753906,33896000,0.0,0.0
2017-07-05 00:00:00-04:00,48.076499938964844,48.75,47.76250076293945,48.56999969482422,73060000,0.0,0.0,149.0,150.85000610351562,148.1300048828125,150.33999633789062,14334300,0.0,0.0,46.209999084472656,46.81449890136719,45.93149948120117,46.612998962402344,41882000,0.0,0.0
2017-07-06 00:00:00-04:00,48.233001708984375,48.720001220703125,47.95100021362305,48.25699996948242,65192000,0.0,0.0,149.02999877929688,150.0399932861328,148.0,148.82000732421875,14951800,0.0,0.0,46.25,46.80699920654297,45.99250030517578,46.384498596191406,40298000,0.0,0.0
2017-07-07 00:00:00-04:00,48.477500915527344,49.00550079345703,48.457000732421875,48.9379997253418,52868000,0.0,0.0,149.25,151.99000549316406,149.19000244140625,151.44000244140625,13615900,0.0,0.0,46.54949951171875,47.233001708984375,46.489498138427734,47.04050064086914,33266000,0.0,0.0
2017-07-10 00:00:00-04:00,49.25,49.97200012207031,49.17499923706055,49.82350158691406,70926000,0.0,0.0,151.69000244140625,153.97999572753906,151.50999450683594,153.5,13378700,0.0,0.0,47.09749984741211,47.65650177001953,47.09749984741211,47.54999923706055,29030000,0.0,0.0
2017-07-11 00:00:00-04:00,49.650001525878906,49.79949951171875,49.18600082397461,49.70650100708008,59654000,0.0,0.0,153.3699951171875,155.4199981689453,152.91000366210938,155.27000427246094,13667700,0.0,0.0,47.5260009765625,47.74449920654297,47.25600051879883,47.67649841308594,29224000,0.0,0.0
2017-07-12 00:00:00-04:00,50.032501220703125,50.4275016784668,49.904998779296875,50.32550048828125,72172000,0.0,0.0,156.49000549316406,159.16000366210938,156.1999969482422,158.89999389648438,22739400,0.0,0.0,48.042999267578125,48.48149871826172,47.85200119018555,48.382999420166016,32042000,0.0,0.0
2017-07-13 00:00:00-04:00,50.23099899291992,50.34400177001953,49.79499816894531,50.03150177001953,57616000,0.0,0.0,158.74000549316406,159.77999877929688,158.4199981689453,159.25999450683594,13929200,0.0,0.0,48.540000915527344,48.935001373291016,48.2400016784668,48.442501068115234,30492000,0.0,0.0
2017-07-14 00:00:00-04:00,50.119998931884766,50.22249984741211,49.84450149536133,50.09049987792969,42050000,0.0,0.0,160.1300048828125,160.32000732421875,159.3300018310547,159.97000122070312,16371200,0.0,0.0,48.70000076293945,48.87699890136719,48.50749969482422,48.84550094604492,21592000,0.0,0.0
2017-07-17 00:00:00-04:00,50.234500885009766,50.73749923706055,50.19049835205078,50.50199890136719,74252000,0.0,0.0,160.25,160.77999877929688,158.80999755859375,159.72999572753906,12858800,0.0,0.0,48.816001892089844,49.16749954223633,48.540000915527344,48.79800033569336,33210000,0.0,0.0
